area_id,desc
1 Pyonganbuk-do Unsan-gun,"Full address of the given location is Unsan-gun, Pyonganbuk-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.03mol/m²
Sum of CO over the area is 6.197mol/m²
Average land surface temperature is 17.3°C
List of production facilities is None
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 310.9km
Sum of nightlight intensity is 32.197
Average nightlight intensity is 0.023
Area of district of the given location is 160.6km²"
2 Pyonganbuk-do Guseong-si,"Full address of the given location is Guseong-si, Pyonganbuk-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.019mol/m²
Sum of CO over the area is 5.289mol/m²
Average land surface temperature is 13.9°C
List of production facilities is None
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 265.2km
Sum of nightlight intensity is 80.558
Average nightlight intensity is 0.164
Area of district of the given location is 133.1km²"
3 Pyonganbuk-do Gujang-gun,"Full address of the given location is Gujang-gun, Pyonganbuk-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.031mol/m²
Sum of CO over the area is 5.962mol/m²
Average land surface temperature is 16.4°C
List of production facilities are 봉천탄광, 용등탄광(룡등탄광)
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 286.1km
Sum of nightlight intensity is 70.201
Average nightlight intensity is 0.206
Area of district of the given location is 148.0km²"
4 Pyongannam-do Sukcheon-gun,"Full address of the given location is Sukcheon-gun, Pyongannam-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.018mol/m²
Sum of CO over the area is 5.838mol/m²
Average land surface temperature is 19.3°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.4%, 0.5km²
Distance to the nearest port is 292.8km
Sum of nightlight intensity is 26.922
Average nightlight intensity is 0.1
Area of district of the given location is 138.9km²"
5 Pyongannam-do Seongcheon-gun,"Full address of the given location is Seongcheon-gun, Pyongannam-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.025mol/m²
Sum of CO over the area is 6.097mol/m²
Average land surface temperature is 19.8°C
List of production facilities are 대봉광산, 용흥광산(룡흥광산)
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
Distance to the nearest port is 237.3km
Sum of nightlight intensity is 26.315
Average nightlight intensity is 0.147
Area of district of the given location is 146.9km²"
6 Hwanghaebuk-do Yeontan-gun,"Full address of the given location is Yeontan-gun, Hwanghaebuk-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.026mol/m²
Sum of CO over the area is 5.628mol/m²
Average land surface temperature is 18.6°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
Distance to the nearest port is 227.6km
Sum of nightlight intensity is 7.41
Average nightlight intensity is 0.04
Area of district of the given location is 138.6km²"
7 Hwanghaebuk-do Eunpa-gun,"Full address of the given location is Eunpa-gun, Hwanghaebuk-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.028mol/m²
Sum of CO over the area is 6.175mol/m²
Average land surface temperature is 23.9°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.5km²
Distance to the nearest port is 242.5km
Sum of nightlight intensity is 38.52
Average nightlight intensity is 0.097
Area of district of the given location is 150.2km²"
8 Hwanghaenam-do Jaeryeong-gun,"Full address of the given location is Jaeryeong-gun, Hwanghaenam-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.023mol/m²
Sum of CO over the area is 6.215mol/m²
Average land surface temperature is 19.8°C
List of production facilities are 재령광산
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 260.5km
Sum of nightlight intensity is 18.122
Average nightlight intensity is 0.045
Area of district of the given location is 150.3km²"
9 Hwanghaenam-do Euncheon-gun,"Full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.022mol/m²
Sum of CO over the area is 6.115mol/m²
Average land surface temperature is 20.2°C
List of production facilities is None
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.4%, 0.7km²
Distance to the nearest port is 274.2km
Sum of nightlight intensity is 44.174
Average nightlight intensity is 0.103
Area of district of the given location is 149.8km²"
10 Hamgyeongbuk-do Gyeongseong-gun,"Full address of the given location is Gyeongseong-gun, Hamgyeongbuk-do, PRK_14_20x10_2024
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.019mol/m²
Sum of CO over the area is 5.545mol/m²
Average land surface temperature is 14.5°C
List of production facilities is None
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.5km²
Distance to the nearest port is 251.2km
Sum of nightlight intensity is 101.638
Average nightlight intensity is 0.255
Area of district of the given location is 140.5km²"
